Location,Local Time,Current Temperature,Condition,Wind,Humidity
Odesa,2024-01-08 13:51,1.1,Light drizzle,40.7,86
Parakou,2024-01-08 13:04,35.7,Sunny,9.0,8
Parakou,2024-01-08 13:04,35.7,Sunny,9.0,8
Parakou,2024-01-08 13:04,35.7,Sunny,9.0,8
Point Hope,2024-01-08 3:09,-4.4,Clear,47.9,77
Sombrero,2024-01-08 14:11,31.4,Patchy rain possible,10.4,51
Odesa,2024-01-08 14:18,0.6,Light drizzle,39.2,86
Odesa,2024-01-08 14:18,0.6,Light drizzle,39.2,86
Taloyoak,2024-01-08 5:19,-33.3,Freezing fog,4.3,100
London,2024-01-08 12:20,3.0,Light snow,28.1,65
Odesa,2024-01-08 14:21,0.6,Light drizzle,39.2,86
Odesa,2024-01-08 14:21,0.6,Light drizzle,39.2,86
